,time,code,ampshift,fsl,onset,spkamp,exptname
431,66.65804499999999,T,20.0,2.681787858572381,2.0413609072715144,29.571533203125,20200531_006
434,67.05440499999999,T,-5.0,3.3222148098732487,2.7018012008005337,29.78515625,20200531_006
437,67.450745,T,40.0,2.4816544362908606,2.021347565043362,29.3121337890625,20200531_006
448,68.83794499999999,T,30.0,2.561707805203469,2.021347565043362,30.731201171875,20200531_006
452,69.234265,T,-30.0,5.90393595730487,4.362908605737158,30.3497314453125,20200531_006
455,69.63060499999999,T,-40.0,,,0.0,20200531_006
458,70.02696499999999,T,-20.0,4.503002001334223,3.2421614409606403,32.04345703125,20200531_006
461,70.423305,T,5.0,2.961974649766511,2.4416277518345564,31.9061279296875,20200531_006
465,70.819645,T,0.0,3.1020680453635756,2.461641094062708,32.1502685546875,20200531_006
468,71.215965,T,-10.0,3.602401601067378,2.9219479653102067,32.3944091796875,20200531_006
470,71.612325,T,10.0,2.8418945963975983,2.2214809873248833,32.073974609375,20200531_006
473,72.008665,T,20.0,2.681787858572381,2.021347565043362,31.7230224609375,20200531_006
477,72.40500499999999,T,-5.0,3.342228152101401,2.781854569713142,31.890869140625,20200531_006
480,72.80136499999999,T,40.0,2.5016677785190127,2.021347565043362,31.097412109375,20200531_006
491,74.18854499999999,T,30.0,2.581721147431621,2.0613742494996665,30.09033203125,20200531_006
494,74.584885,T,-30.0,6.604402935290193,4.4229486324216145,29.3426513671875,20200531_006
497,74.98124499999999,T,-40.0,,,0.0,20200531_006
500,75.37756499999999,T,-20.0,4.362908605737158,3.4422948632421613,31.219482421875,20200531_006
503,75.773905,T,5.0,2.941961307538359,2.361574382921948,31.06689453125,20200531_006
507,76.17026499999999,T,0.0,3.1020680453635756,2.581721147431621,30.8837890625,20200531_006
510,76.566605,T,-10.0,3.5423615743829218,2.961974649766511,30.9600830078125,20200531_006
513,76.96294499999999,T,10.0,2.801867911941294,2.2214809873248833,31.0516357421875,20200531_006
516,77.359285,T,20.0,2.681787858572381,2.0613742494996665,30.5633544921875,20200531_006
519,77.75564499999999,T,-5.0,3.2821881254169445,2.181454302868579,31.3262939453125,20200531_006
523,78.15196499999999,T,40.0,2.4816544362908606,2.021347565043362,29.327392578125,20200531_006
534,79.539165,T,30.0,2.561707805203469,2.021347565043362,30.3955078125,20200531_006
538,79.93550499999999,T,-30.0,6.684456304202802,4.583055370246831,29.327392578125,20200531_006
541,80.331865,T,-40.0,,,0.0,20200531_006
544,80.728185,T,-20.0,4.342895263509005,3.4422948632421613,30.6396484375,20200531_006
547,81.124545,T,5.0,2.9219479653102067,2.3815877251500996,30.3497314453125,20200531_006
550,81.52088499999999,T,-0.0,3.1020680453635756,2.561707805203469,30.21240234375,20200531_006
554,81.917245,T,-10.0,3.562374916611074,2.9219479653102067,30.8380126953125,20200531_006
557,82.313565,T,10.0,2.8218812541694462,2.3015343562374913,30.2734375,20200531_006
559,82.70990499999999,T,20.0,2.6617745163442295,2.081387591727818,30.7159423828125,20200531_006
562,83.10624499999999,T,-5.0,3.3222148098732487,2.741827885256838,30.94482421875,20200531_006
566,83.502585,T,40.0,2.5016677785190127,2.021347565043362,29.541015625,20200531_006
577,84.889805,T,30.0,2.561707805203469,2.021347565043362,29.2816162109375,20200531_006
580,85.28614499999999,T,-30.0,6.924616410940627,4.442961974649767,27.0843505859375,20200531_006
584,85.68248499999999,T,-40.0,,,0.0,20200531_006
587,86.07884499999999,T,-20.0,4.362908605737158,3.502334889926618,29.2816162109375,20200531_006
590,86.475185,T,5.0,2.961974649766511,2.4816544362908606,29.0679931640625,20200531_006
593,86.871545,T,0.0,3.1220813875917277,2.5016677785190127,29.022216796875,20200531_006
597,87.26786499999999,T,-10.0,3.62241494329553,2.901934623082054,28.961181640625,20200531_006
600,87.664245,T,10.0,2.8418945963975983,2.241494329553035,28.411865234375,20200531_006
603,88.060565,T,20.0,2.6617745163442295,2.1014009339559707,28.4881591796875,20200531_006
607,88.456925,T,-5.0,3.3022014676450966,2.76184122748499,27.89306640625,20200531_006
610,88.853265,T,40.0,2.5016677785190127,2.021347565043362,26.519775390625,20200531_006
622,90.24046499999999,T,30.0,2.6217478318879253,2.021347565043362,24.6124267578125,20200531_006
625,90.63682499999999,T,-30.0,6.6644429619746495,4.4229486324216145,23.2696533203125,20200531_006
628,91.033165,T,-40.0,,,0.0,20200531_006
632,91.42950499999999,T,-20.0,4.402935290193462,3.422281521014009,25.69580078125,20200531_006
635,91.825865,T,5.0,2.961974649766511,2.361574382921948,25.5126953125,20200531_006
638,92.22220499999999,T,0.0,3.1220813875917277,2.5216811207471648,26.214599609375,20200531_006
641,92.618545,T,-10.0,3.562374916611074,2.9219479653102067,26.458740234375,20200531_006
645,93.014905,T,10.0,2.8619079386257504,2.2815210140093396,26.1993408203125,20200531_006
648,93.41126499999999,T,20.0,2.7218145430286858,2.0413609072715144,25.299072265625,20200531_006
651,93.807605,T,-5.0,3.362241494329553,2.7218145430286858,26.3671875,20200531_006
655,94.20394499999999,T,40.0,2.541694462975317,2.021347565043362,24.7039794921875,20200531_006
463,52.5736625,T,-40.0,,,0.0,20200531_007
467,52.969542499999996,T,-30.0,,,0.0,20200531_007
470,53.365422499999994,T,0.0,5.263509006004003,3.6424282855236823,27.496337890625,20200531_007
474,53.76130249999999,T,40.0,3.762508338892595,2.8619079386257504,26.3214111328125,20200531_007
477,54.1572025,T,10.0,4.723148765843896,3.422281521014009,29.083251953125,20200531_007
480,54.553062499999996,T,20.0,4.342895263509005,3.1020680453635756,30.242919921875,20200531_007
484,54.948942499999994,T,-10.0,3.6424282855236823,2.021347565043362,25.32958984375,20200531_007
487,55.34482249999999,T,-20.0,,,0.0,20200531_007
490,55.7407025,T,5.0,5.0433622414943295,3.342228152101401,29.3121337890625,20200531_007
494,56.136602499999995,T,30.0,3.9226150767178116,2.801867911941294,29.1595458984375,20200531_007
497,56.53250249999999,T,-5.0,5.943962641761174,4.462975316877918,27.2674560546875,20200531_007
509,57.9180625,T,-40.0,,,0.0,20200531_007
512,58.313942499999996,T,-30.0,,,0.0,20200531_007
514,58.709822499999994,T,0.0,5.303535690460307,3.822548365577051,28.4881591796875,20200531_007
517,59.10570249999999,T,40.0,3.6824549699799864,2.801867911941294,29.0679931640625,20200531_007
521,59.5016025,T,10.0,4.763175450300199,3.5223482321547697,30.1055908203125,20200531_007
524,59.897462499999996,T,20.0,4.322881921280853,2.8418945963975983,31.25,20200531_007
